id,iata,icao,model
1,DH8D,DH8D,De Havilland Dash 8-Q400
2,AT76,AT76,ATR 72-600
3,AT42,AT42,ATR 42-600
4,320,A320,Airbus A320-200
5,32N,A20N,Airbus A320neo
6,321,A321,Airbus A321-200
7,32Q,A21N,Airbus A321neo
8,333,A333,Airbus A330-300
9,339,A339,Airbus A330-900neo
10,359,A359,Airbus A350-900
11,35K,A35K,Airbus A350-1000
12,77W,B77W,Boeing 777-300ER
13,738,B738,Boeing 737-800
14,7M8,B38M,Boeing 737 MAX 8
15,788,B788,Boeing 787-8
16,789,B789,Boeing 787-9
17,78X,B78X,Boeing 787-10
18,388,A388,Airbus A380-800
